Battle,Position,Enemy,Lvl,HP,XP,GP,Atk Mult,Hit%,Atk,Def Mult,Eva%,Def,MDef Mult,MEv%,MDef,Min Spd,Max Spd,Spell Power,Values set/checked by script ->,Script value 2,Script Value 3,Script Value 4
antlion,octomamm_slot,Antlion,10,2350,1200,500,2,99,22,0,0,0,6,60,25,31,31,,,,,
antlion,odin_slot,Antlion,53,20500,18000,0,9,85,116,0,0,3,7,50,32,43,46,,,,,
antlion,officer_slot,Antlion,11,302,880,245,3,75,26,0,0,2,2,60,12,2,4,,,,,
antlion,ogopogo_slot,Antlion,62,37000,61100,0,11,99,150,0,0,4,9,50,40,38,38,,,,,
antlion,paledim_slot,Antlion,98,27300,59000,0,11,85,144,0,0,5,10,50,48,40,43,,,,,
antlion,plague_slot,Antlion,96,28000,31200,550,11,90,146,0,0,5,7,50,32,29,32,,,,,
antlion,rubicant_slot,Antlion,50,25200,25000,7000,7,80,88,0,0,1,8,80,37,38,38,,,,,
antlion,valvalis_slot,Antlion,36,6000,9500,5500,5,99,70,0,0,0,3,40,12,18,18,,,,,
antlion,wyvern_slot,Antlion,99,25000,64300,0,12,90,160,0,0,5,10,50,52,43,46,,,,,
asura,antlion_slot,Asura,2,1000,1500,800,2,85,11,0,0,2,2,60,8,5,5,3,,,,
asura,asura_slot,Asura,63,23000,20000,0,10,99,134,0,0,0,8,80,37,66,66,69,,,,
asura,bahamut_slot,Asura,47,37000,35000,0,13,99,174,0,0,1,1,60,8,27,27,17,,,,
asura,baigan_slot,Asura,9,4200,4820,3000,4,99,52,0,0,0,3,60,11,8,8,9,,,,
asura,calbrena_slot,Asura,47,8524,21000,8000,7,99,96,1,80,2,6,60,25,11,11,41,,,,
asura,cpu_slot,Asura,48,24000,150000,10333,13,99,174,4,45,4,8,50,38,38,38,127,,,,
asura,darkelf_slot,Asura,19,5000,7000,9000,4,99,54,0,0,3,99,99,254,11,11,15,,,,
asura,darkimp_slot,Asura,16,597,5820,135,5,70,56,0,0,0,0,0,0,18,21,18,,,,
asura,dlunar_slot,Asura,99,42000,100000,0,11,85,144,3,30,4,10,80,54,30,30,36,,,,
asura,dmist_slot,Asura,10,465,700,200,2,90,16,0,0,5,7,80,31,5,5,10,,,,
asura,elements_slot,Asura,79,65000,102500,20000,10,80,128,2,35,3,3,60,4,89,89,15,,,,
asura,evilwall_slot,Asura,37,19000,23000,8000,6,90,84,1,35,2,7,80,29,66,66,79,,,,
asura,fabulgauntlet_slot,Asura,15,1880,5590,1425,3,90,36,2,20,2,3,60,11,6,9,17,,,,
asura,golbez_slot,Asura,31,3002,20000,11000,5,99,68,0,0,0,0,0,0,27,27,1,,,,
asura,guard_slot,Asura,18,400,1440,1000,3,99,46,1,90,1,3,40,14,11,14,26,,,,
asura,kainazzo_slot,Asura,16,4000,5500,4000,3,99,44,2,50,2,10,50,48,15,15,29,,,,
asura,karate_slot,Asura,31,4000,0,0,6,99,86,0,0,0,0,0,0,4,7,34,,,,
asura,kingqueen_slot,Asura,15,6000,0,0,9,85,116,0,0,0,0,0,0,53,53,17,,,,
asura,leviatan_slot,Asura,79,35000,28000,0,13,99,174,0,0,5,10,80,47,53,53,34,,,,
asura,lugae_slot,Asura,25,18943,26020,11000,6,99,86,1,50,1,0,0,0,27,27,7,,,,
asura,magus_slot,Asura,16,9000,9000,9000,5,80,60,1,45,2,3,60,11,7,7,11,,,,
asura,milon_slot,Asura,15,2780,3800,3300,1,75,19,1,35,2,0,0,0,8,8,14,,,,
asura,milonz_slot,Asura,15,3000,4000,3000,3,99,44,1,60,1,6,40,22,9,9,31,,,,
asura,mirrorcecil_slot,Asura,17,1000,0,0,3,99,46,0,0,0,3,60,11,5,5,19,,,,
asura,mombomb_slot,Asura,15,1250,4360,1755,3,80,30,0,0,0,1,40,9,7,7,5,,,,
asura,octomamm_slot,Asura,10,2350,1200,500,2,99,22,0,0,0,6,60,25,31,31,11,,,,
asura,odin_slot,Asura,53,20500,18000,0,9,85,116,2,90,3,7,50,32,43,46,95,,,,
asura,officer_slot,Asura,11,302,880,245,3,75,26,1,65,2,2,60,12,2,4,13,,,,
asura,ogopogo_slot,Asura,62,37000,61100,0,11,99,150,4,55,4,9,50,40,38,38,127,,,,
asura,paledim_slot,Asura,98,27300,59000,0,11,85,144,5,40,5,10,50,48,40,43,31,,,,
asura,plague_slot,Asura,96,28000,31200,550,11,90,146,4,50,5,7,50,32,29,32,106,,,,
asura,rubicant_slot,Asura,50,25200,25000,7000,7,80,88,1,90,1,8,80,37,38,38,16,,,,
asura,valvalis_slot,Asura,36,6000,9500,5500,5,99,70,0,0,0,3,40,12,18,18,63,,,,
asura,wyvern_slot,Asura,99,25000,64300,0,12,90,160,4,80,5,10,50,52,43,46,8,,,,
bahamut,antlion_slot,Bahamut,2,1000,1500,800,2,85,11,0,0,2,2,60,8,5,5,1,,,,
bahamut,asura_slot,Bahamut,63,23000,20000,0,10,99,134,0,0,0,8,80,37,66,66,69,,,,
bahamut,bahamut_slot,Bahamut,47,37000,35000,0,13,99,174,0,0,1,1,60,8,27,27,17,,,,
bahamut,baigan_slot,Bahamut,9,4200,4820,3000,4,99,52,0,0,0,3,60,11,8,8,9,,,,
bahamut,calbrena_slot,Bahamut,47,8524,21000,8000,7,99,96,0,0,2,6,60,25,11,11,41,,,,
bahamut,cpu_slot,Bahamut,48,24000,150000,10333,13,99,174,0,0,4,8,50,38,38,38,127,,,,
bahamut,darkelf_slot,Bahamut,19,5000,7000,9000,4,99,54,0,0,3,99,99,254,11,11,15,,,,
bahamut,darkimp_slot,Bahamut,16,597,5820,135,5,70,56,0,0,0,0,0,0,18,21,6,,,,
bahamut,dlunar_slot,Bahamut,99,42000,100000,0,11,85,144,0,0,4,10,80,54,30,30,36,,,,
bahamut,dmist_slot,Bahamut,10,465,700,200,2,90,16,0,0,5,7,80,31,5,5,10,,,,
bahamut,elements_slot,Bahamut,79,65000,102500,20000,10,80,128,0,0,3,3,60,4,89,89,15,,,,
bahamut,evilwall_slot,Bahamut,37,19000,23000,8000,6,90,84,0,0,2,7,80,29,66,66,79,,,,
bahamut,fabulgauntlet_slot,Bahamut,15,1880,5590,1425,3,90,36,0,0,2,3,60,11,6,9,6,,,,
bahamut,golbez_slot,Bahamut,31,3002,20000,11000,5,99,68,0,0,0,0,0,0,27,27,1,,,,
bahamut,guard_slot,Bahamut,18,400,1440,1000,3,99,46,0,0,1,3,40,14,11,14,26,,,,
bahamut,kainazzo_slot,Bahamut,16,4000,5500,4000,3,99,44,0,0,2,10,50,48,15,15,29,,,,
bahamut,karate_slot,Bahamut,31,4000,0,0,6,99,86,0,0,0,0,0,0,4,7,12,,,,
bahamut,kingqueen_slot,Bahamut,15,6000,0,0,9,85,116,0,0,0,0,0,0,53,53,6,,,,
bahamut,leviatan_slot,Bahamut,79,35000,28000,0,13,99,174,0,0,5,10,80,47,53,53,34,,,,
bahamut,lugae_slot,Bahamut,25,18943,26020,11000,6,99,86,0,0,1,0,0,0,27,27,7,,,,
bahamut,magus_slot,Bahamut,16,9000,9000,9000,5,80,60,0,0,2,3,60,11,7,7,11,,,,
bahamut,milon_slot,Bahamut,15,2780,3800,3300,1,75,19,0,0,2,0,0,0,8,8,14,,,,
bahamut,milonz_slot,Bahamut,15,3000,4000,3000,3,99,44,0,0,1,6,40,22,9,9,31,,,,
bahamut,mirrorcecil_slot,Bahamut,17,1000,0,0,3,99,46,0,0,0,3,60,11,5,5,7,,,,
bahamut,mombomb_slot,Bahamut,15,1250,4360,1755,3,80,30,0,0,0,1,40,9,7,7,5,,,,
bahamut,octomamm_slot,Bahamut,10,2350,1200,500,2,99,22,0,0,0,6,60,25,31,31,4,,,,
bahamut,odin_slot,Bahamut,53,20500,18000,0,9,85,116,0,0,3,7,50,32,43,46,95,,,,
bahamut,officer_slot,Bahamut,11,302,880,245,3,75,26,0,0,2,2,60,12,2,4,4,,,,
bahamut,ogopogo_slot,Bahamut,62,37000,61100,0,11,99,150,0,0,4,9,50,40,38,38,127,,,,
bahamut,paledim_slot,Bahamut,98,27300,59000,0,11,85,144,0,0,5,10,50,48,40,43,31,,,,
bahamut,plague_slot,Bahamut,96,28000,31200,550,11,90,146,0,0,5,7,50,32,29,32,35,,,,
bahamut,rubicant_slot,Bahamut,50,25200,25000,7000,7,80,88,0,0,1,8,80,37,38,38,16,,,,
bahamut,valvalis_slot,Bahamut,36,6000,9500,5500,5,99,70,0,0,0,3,40,12,18,18,63,,,,
bahamut,wyvern_slot,Bahamut,99,25000,64300,0,12,90,160,0,0,5,10,50,52,43,46,8,,,,
baigan,antlion_slot,Baigan,2,834,1494,800,2,85,11,0,0,2,2,60,8,5,5,2,,,,
baigan,antlion_slot,RightArm,2,84,4,0,2,60,12,0,0,2,0,0,0,1,2,2,,,,
baigan,antlion_slot,Left Arm,2,84,4,0,2,60,12,0,0,2,0,0,0,4,4,2,,,,
baigan,asura_slot,Baigan,63,19167,19918,0,10,99,134,0,0,0,8,80,37,66,66,69,,,,
baigan,asura_slot,RightArm,63,1917,42,0,11,85,144,0,0,0,0,0,0,30,33,69,,,,
baigan,asura_slot,Left Arm,63,1917,42,0,11,85,144,0,0,0,0,0,0,39,42,69,,,,
baigan,bahamut_slot,Baigan,47,30834,34855,0,13,99,174,0,0,1,1,60,8,27,27,17,,,,
baigan,bahamut_slot,RightArm,47,3084,73,0,13,99,174,0,0,1,0,0,0,11,14,17,,,,
baigan,bahamut_slot,Left Arm,47,3084,73,0,13,99,174,0,0,1,0,0,0,18,18,17,,,,
baigan,baigan_slot,Baigan,9,3500,4800,3000,4,99,52,0,0,0,3,60,11,8,8,9,,,,
baigan,baigan_slot,RightArm,9,350,10,0,5,70,56,0,0,0,0,0,0,4,4,9,,,,
baigan,baigan_slot,Left Arm,9,350,10,0,5,70,56,0,0,0,0,0,0,5,5,9,,,,
baigan,calbrena_slot,Baigan,47,7104,20913,8000,7,99,96,1,80,2,6,60,25,11,11,41,,,,
baigan,calbrena_slot,RightArm,47,711,44,0,8,80,102,1,80,2,0,0,0,5,5,41,,,,
baigan,calbrena_slot,Left Arm,47,711,44,0,8,80,102,1,80,2,0,0,0,7,7,41,,,,
baigan,cpu_slot,Baigan,48,20000,149378,10333,13,99,174,4,45,4,8,50,38,38,38,127,,,,
baigan,cpu_slot,RightArm,48,2000,312,0,13,99,174,4,45,4,0,0,0,18,18,127,,,,
baigan,cpu_slot,Left Arm,48,2000,312,0,13,99,174,4,45,4,0,0,0,21,24,127,,,,
baigan,darkelf_slot,Baigan,19,4167,6971,9000,4,99,54,0,0,3,99,99,254,11,11,15,,,,
baigan,darkelf_slot,RightArm,19,417,15,0,5,70,58,0,0,3,0,0,0,5,5,15,,,,
baigan,darkelf_slot,Left Arm,19,417,15,0,5,70,58,0,0,3,0,0,0,7,7,15,,,,
baigan,darkimp_slot,Baigan,16,498,5796,135,5,70,56,0,0,0,0,0,0,18,21,16,,,,
baigan,darkimp_slot,RightArm,16,50,13,0,5,80,60,0,0,0,0,0,0,8,11,16,,,,
baigan,darkimp_slot,Left Arm,16,50,13,0,5,80,60,0,0,0,0,0,0,11,14,16,,,,
baigan,dlunar_slot,Baigan,99,35000,99586,0,11,85,144,3,30,4,10,80,54,30,30,36,,,,
baigan,dlunar_slot,RightArm,99,3500,208,0,12,75,154,3,30,4,0,0,0,15,15,36,,,,
baigan,dlunar_slot,Left Arm,99,3500,208,0,12,75,154,3,30,4,0,0,0,18,18,36,,,,
baigan,dmist_slot,Baigan,10,388,698,200,2,90,16,0,0,5,7,80,31,5,5,10,,,,
baigan,dmist_slot,RightArm,10,39,2,0,4,60,17,0,0,5,0,0,0,1,2,10,,,,
baigan,dmist_slot,Left Arm,10,39,2,0,4,60,17,0,0,5,0,0,0,4,4,10,,,,
baigan,elements_slot,Baigan,79,65000,102075,20000,10,80,128,2,35,3,3,60,4,89,89,15,,,,
baigan,elements_slot,RightArm,79,8667,213,0,11,75,140,2,35,3,0,0,0,42,45,15,,,,
baigan,elements_slot,Left Arm,79,8667,213,0,11,75,140,2,35,3,0,0,0,53,53,15,,,,
baigan,evilwall_slot,Baigan,37,15834,22905,8000,6,90,84,1,35,2,7,80,29,66,66,79,,,,
baigan,evilwall_slot,RightArm,37,1584,48,0,7,80,90,1,35,2,0,0,0,30,33,79,,,,
baigan,evilwall_slot,Left Arm,37,1584,48,0,7,80,90,1,35,2,0,0,0,39,42,79,,,,
baigan,fabulgauntlet_slot,Baigan,15,1567,5567,1425,3,90,36,2,20,2,3,60,11,6,9,15,,,,
baigan,fabulgauntlet_slot,RightArm,15,157,12,0,4,70,40,2,20,2,0,0,0,2,4,15,,,,
baigan,fabulgauntlet_slot,Left Arm,15,157,12,0,4,70,40,2,20,2,0,0,0,3,6,15,,,,
baigan,golbez_slot,Baigan,31,2502,19918,11000,5,99,68,0,0,0,0,0,0,27,27,1,,,,
baigan,golbez_slot,RightArm,31,251,42,0,6,70,74,0,0,0,0,0,0,11,14,1,,,,
baigan,golbez_slot,Left Arm,31,251,42,0,6,70,74,0,0,0,0,0,0,18,18,1,,,,
baigan,guard_slot,Baigan,18,334,1435,1000,3,99,46,1,90,1,3,40,14,11,14,26,,,,
baigan,guard_slot,RightArm,18,34,3,0,4,90,50,1,90,1,0,0,0,4,7,26,,,,
baigan,guard_slot,Left Arm,18,34,3,0,4,90,50,1,90,1,0,0,0,6,9,26,,,,
baigan,kainazzo_slot,Baigan,16,3334,5478,4000,3,99,44,2,50,2,10,50,48,15,15,29,,,,
baigan,kainazzo_slot,RightArm,16,334,12,0,4,80,46,2,50,2,0,0,0,8,8,29,,,,
baigan,kainazzo_slot,Left Arm,16,334,12,0,4,80,46,2,50,2,0,0,0,9,9,29,,,,
baigan,karate_slot,Baigan,31,3334,0,0,6,99,86,0,0,0,0,0,0,4,7,31,,,,
baigan,karate_slot,RightArm,31,334,0,0,7,90,92,0,0,0,0,0,0,2,4,31,,,,
baigan,karate_slot,Left Arm,31,334,0,0,7,90,92,0,0,0,0,0,0,2,4,31,,,,
baigan,kingqueen_slot,Baigan,15,5000,0,0,9,85,116,0,0,0,0,0,0,53,53,15,,,,
baigan,kingqueen_slot,RightArm,15,500,0,0,10,75,126,0,0,0,0,0,0,27,27,15,,,,
baigan,kingqueen_slot,Left Arm,15,500,0,0,10,75,126,0,0,0,0,0,0,31,34,15,,,,
baigan,leviatan_slot,Baigan,79,29167,27884,0,13,99,174,0,0,5,10,80,47,53,53,34,,,,
baigan,leviatan_slot,RightArm,79,2917,59,0,13,99,174,0,0,5,0,0,0,27,27,34,,,,
baigan,leviatan_slot,Left Arm,79,2917,59,0,13,99,174,0,0,5,0,0,0,31,34,34,,,,
baigan,lugae_slot,Baigan,25,15786,25913,11000,6,99,86,1,50,1,0,0,0,27,27,7,,,,
baigan,lugae_slot,RightArm,25,1579,54,0,7,90,92,1,50,1,0,0,0,11,14,7,,,,
baigan,lugae_slot,Left Arm,25,1579,54,0,7,90,92,1,50,1,0,0,0,18,18,7,,,,
baigan,magus_slot,Baigan,16,7500,8963,9000,5,80,60,1,45,2,3,60,11,7,7,11,,,,
baigan,magus_slot,RightArm,16,750,19,0,5,90,64,1,45,2,0,0,0,4,4,11,,,,
baigan,magus_slot,Left Arm,16,750,19,0,5,90,64,1,45,2,0,0,0,4,4,11,,,,
baigan,milon_slot,Baigan,15,2317,3785,3300,1,75,19,1,35,2,0,0,0,8,8,14,,,,
baigan,milon_slot,RightArm,15,232,8,0,1,80,20,1,35,2,0,0,0,4,4,14,,,,
baigan,milon_slot,Left Arm,15,232,8,0,1,80,20,1,35,2,0,0,0,5,5,14,,,,
baigan,milonz_slot,Baigan,15,2500,3984,3000,3,99,44,1,60,1,6,40,22,9,9,31,,,,
baigan,milonz_slot,RightArm,15,250,9,0,4,80,46,1,60,1,0,0,0,5,5,31,,,,
baigan,milonz_slot,Left Arm,15,250,9,0,4,80,46,1,60,1,0,0,0,5,5,31,,,,
baigan,mirrorcecil_slot,Baigan,17,834,0,0,3,99,46,0,0,0,3,60,11,5,5,17,,,,
baigan,mirrorcecil_slot,RightArm,17,84,0,0,4,90,50,0,0,0,0,0,0,1,2,17,,,,
baigan,mirrorcecil_slot,Left Arm,17,84,0,0,4,90,50,0,0,0,0,0,0,4,4,17,,,,
baigan,mombomb_slot,Baigan,15,1042,4342,1755,3,80,30,0,0,0,1,40,9,7,7,5,,,,
baigan,mombomb_slot,RightArm,15,105,10,0,3,85,32,0,0,0,0,0,0,4,4,5,,,,
baigan,mombomb_slot,Left Arm,15,105,10,0,3,85,32,0,0,0,0,0,0,4,4,5,,,,
baigan,octomamm_slot,Baigan,10,1959,1196,500,2,99,22,0,0,0,6,60,25,31,31,10,,,,
baigan,octomamm_slot,RightArm,10,196,3,0,3,75,24,0,0,0,0,0,0,15,15,10,,,,
baigan,octomamm_slot,Left Arm,10,196,3,0,3,75,24,0,0,0,0,0,0,18,18,10,,,,
baigan,odin_slot,Baigan,53,17084,17926,0,9,85,116,2,90,3,7,50,32,43,46,95,,,,
baigan,odin_slot,RightArm,53,1709,38,0,10,75,126,2,90,3,0,0,0,20,23,95,,,,
baigan,odin_slot,Left Arm,53,1709,38,0,10,75,126,2,90,3,0,0,0,26,29,95,,,,
baigan,officer_slot,Baigan,11,252,877,245,3,75,26,1,65,2,2,60,12,2,4,11,,,,
baigan,officer_slot,RightArm,11,26,2,0,3,80,28,1,65,2,0,0,0,1,2,11,,,,
baigan,officer_slot,Left Arm,11,26,2,0,3,80,28,1,65,2,0,0,0,1,2,11,,,,
baigan,ogopogo_slot,Baigan,62,30834,60847,0,11,99,150,4,55,4,9,50,40,38,38,127,,,,
baigan,ogopogo_slot,RightArm,62,3084,127,0,12,95,162,4,55,4,0,0,0,18,18,127,,,,
baigan,ogopogo_slot,Left Arm,62,3084,127,0,12,95,162,4,55,4,0,0,0,21,24,127,,,,
baigan,paledim_slot,Baigan,98,22750,58756,0,11,85,144,5,40,5,10,50,48,40,43,31,,,,
baigan,paledim_slot,RightArm,98,2275,123,0,12,75,154,5,40,5,0,0,0,19,22,31,,,,
baigan,paledim_slot,Left Arm,98,2275,123,0,12,75,154,5,40,5,0,0,0,24,27,31,,,,
baigan,plague_slot,Baigan,96,23334,31071,550,11,90,146,4,50,5,7,50,32,29,32,96,,,,
baigan,plague_slot,RightArm,96,2334,65,0,12,80,156,4,50,5,0,0,0,13,16,96,,,,
baigan,plague_slot,Left Arm,96,2334,65,0,12,80,156,4,50,5,0,0,0,17,20,96,,,,
baigan,rubicant_slot,Baigan,50,21000,24897,7000,7,80,88,1,90,1,8,80,37,38,38,16,,,,
baigan,rubicant_slot,RightArm,50,2100,52,0,7,90,94,1,90,1,0,0,0,18,18,16,,,,
baigan,rubicant_slot,Left Arm,50,2100,52,0,7,90,94,1,90,1,0,0,0,21,24,16,,,,
baigan,valvalis_slot,Baigan,36,5000,9461,5500,5,99,70,0,0,0,3,40,12,18,18,63,,,,
baigan,valvalis_slot,RightArm,36,500,20,0,6,70,74,0,0,0,0,0,0,9,9,63,,,,
baigan,valvalis_slot,Left Arm,36,500,20,0,6,70,74,0,0,0,0,0,0,11,11,63,,,,
baigan,wyvern_slot,Baigan,99,20834,64034,0,12,90,160,4,80,5,10,50,52,43,46,8,,,,
baigan,wyvern_slot,RightArm,99,2084,134,0,13,99,172,4,80,5,0,0,0,20,23,8,,,,
baigan,wyvern_slot,Left Arm,99,2084,134,0,13,99,172,4,80,5,0,0,0,26,29,8,,,,
calbrena,antlion_slot,Cal,2,118,72,50,1,60,6,0,0,0,1,55,2,8,8,2,,,,
calbrena,antlion_slot,Brena,1,36,72,50,1,60,6,0,0,1,1,55,2,8,8,2,,,,
calbrena,antlion_slot,Calbrena,2,543,1072,500,2,85,11,0,0,2,2,60,8,5,5,2,scriptHP: 12,,,
calbrena,asura_slot,Cal,42,2699,953,0,6,80,76,0,0,0,4,60,17,111,111,53,,,,
calbrena,asura_slot,Brena,21,810,953,0,6,80,76,0,0,0,4,60,17,111,111,53,,,,
calbrena,asura_slot,Calbrena,63,12477,14286,0,10,99,134,0,0,0,8,80,37,66,66,69,scriptHP: 270,,,
calbrena,bahamut_slot,Cal,31,4341,1667,0,7,99,98,0,0,0,1,55,2,40,43,13,,,,
calbrena,bahamut_slot,Brena,15,1303,1667,0,7,99,98,0,0,0,1,55,2,40,43,13,,,,
calbrena,bahamut_slot,Calbrena,47,20072,25000,0,13,99,174,0,0,1,1,60,8,27,27,17,scriptHP: 435,,,
calbrena,baigan_slot,Cal,6,493,230,188,3,80,30,0,0,0,1,60,6,11,14,7,,,,
calbrena,baigan_slot,Brena,3,148,230,188,3,80,30,0,0,0,1,60,6,11,14,7,,,,
calbrena,baigan_slot,Calbrena,9,2279,3443,1875,4,99,52,0,0,0,3,60,11,8,8,9,scriptHP: 50,,,
calbrena,calbrena_slot,Cal,31,1000,1000,500,4,99,54,0,0,0,3,60,11,16,19,31,,,,
calbrena,calbrena_slot,Brena,15,300,1000,500,4,99,54,1,40,1,3,60,11,16,19,31,,,,
calbrena,calbrena_slot,Calbrena,47,4624,15000,5000,7,99,96,1,80,2,6,60,25,11,11,41,scriptHP: 100,,,
calbrena,cpu_slot,Cal,32,2816,7143,646,7,99,98,0,0,0,4,60,17,65,65,97,,,,
calbrena,cpu_slot,Brena,16,845,7143,646,7,99,98,2,20,2,4,60,17,65,65,97,,,,
calbrena,cpu_slot,Calbrena,48,13020,107143,6459,13,99,174,4,45,4,8,50,38,38,38,127,scriptHP: 282,,,
calbrena,darkelf_slot,Cal,13,587,334,563,3,80,30,0,0,0,9,75,112,16,19,12,,,,
calbrena,darkelf_slot,Brena,7,176,334,563,3,80,30,0,0,1,9,75,112,16,19,12,,,,
calbrena,darkelf_slot,Calbrena,19,2713,5000,5625,4,99,54,0,0,3,99,99,254,11,11,15,scriptHP: 59,,,
calbrena,darkimp_slot,Cal,11,71,278,9,3,85,32,0,0,0,0,0,0,27,30,11,,,,
calbrena,darkimp_slot,Brena,6,22,278,9,3,85,32,0,0,0,0,0,0,27,30,11,,,,
calbrena,darkimp_slot,Calbrena,16,324,4158,85,5,70,56,0,0,0,0,0,0,18,21,14,scriptHP: 8,,,
calbrena,dlunar_slot,Cal,66,4928,4762,0,6,90,80,0,0,0,3,75,24,43,46,28,,,,
calbrena,dlunar_slot,Brena,32,1479,4762,0,6,90,80,3,15,3,3,75,24,43,46,28,,,,
calbrena,dlunar_slot,Calbrena,99,22784,71429,0,11,85,144,3,30,4,10,80,54,30,30,36,scriptHP: 493,,,
calbrena,dmist_slot,Cal,7,55,34,13,2,85,11,0,0,0,2,85,13,8,8,8,,,,
calbrena,dmist_slot,Brena,4,17,34,13,2,85,11,0,0,2,2,85,13,8,8,8,,,,
calbrena,dmist_slot,Calbrena,10,253,500,125,2,90,16,0,0,5,7,80,31,5,5,10,scriptHP: 6,,,
calbrena,elements_slot,Cal,53,12201,4881,1250,6,70,72,0,0,0,2,60,2,111,111,12,,,,
calbrena,elements_slot,Brena,26,3661,4881,1250,6,70,72,2,20,2,2,60,2,111,111,12,,,,
calbrena,elements_slot,Calbrena,79,56417,73215,12500,10,80,128,2,35,3,3,60,4,89,89,15,scriptHP: 1221,,,
calbrena,evilwall_slot,Cal,25,2230,1096,500,4,90,48,0,0,0,2,85,13,111,111,60,,,,
calbrena,evilwall_slot,Brena,12,669,1096,500,4,90,48,1,30,1,2,85,13,111,111,60,,,,
calbrena,evilwall_slot,Calbrena,37,10307,16429,5000,6,90,84,1,35,2,7,80,29,66,66,79,scriptHP: 223,,,
calbrena,fabulgauntlet_slot,Cal,10,221,267,90,2,99,20,0,0,0,1,60,6,9,12,10,,,,
calbrena,fabulgauntlet_slot,Brena,5,67,267,90,2,99,20,2,20,2,1,60,6,9,12,10,,,,
calbrena,fabulgauntlet_slot,Calbrena,15,1020,3993,891,3,90,36,2,20,2,3,60,11,6,9,14,scriptHP: 23,,,
calbrena,golbez_slot,Cal,21,353,953,688,3,90,38,0,0,0,0,0,0,40,43,1,,,,
calbrena,golbez_slot,Brena,10,106,953,688,3,90,38,0,0,0,0,0,0,40,43,1,,,,
calbrena,golbez_slot,Calbrena,31,1629,14286,6875,5,99,68,0,0,0,0,0,0,27,27,1,scriptHP: 36,,,
calbrena,guard_slot,Cal,12,47,69,63,3,75,26,0,0,0,1,40,7,16,19,20,,,,
calbrena,guard_slot,Brena,6,15,69,63,3,75,26,1,40,1,1,40,7,16,19,20,,,,
calbrena,guard_slot,Calbrena,18,217,1029,625,3,99,46,1,90,1,3,40,14,11,14,26,scriptHP: 5,,,
calbrena,kainazzo_slot,Cal,11,470,262,250,2,99,22,0,0,0,5,60,21,22,25,22,,,,
calbrena,kainazzo_slot,Brena,6,141,262,250,2,99,22,1,30,1,5,60,21,22,25,22,,,,
